# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
gao fu za 	搞複雜	c=1 d=0.000717312 t=22014
gao ge 	搞个	c=1 d=6.75654e-06 t=22014
gao ge xu ni ji 	搞个虛擬機	c=1 d=3.67117e-06 t=22014
gao guo 	搞過	c=1 d=2.12429e-11 t=22014
gao guo 	高過	c=1 d=2.30953e-24 t=22014
gao huai 	搞壞	c=1 d=6.4303e-12 t=22014
gao hui 	搞会	c=1 d=2.78843e-35 t=22014
gao hun 	搞混	c=1 d=7.52526e-09 t=22014
gao ji 	搞基	c=1 d=3.76475e-08 t=22014
gao ji 	高級	c=2 d=1.8525e-15 t=22014
gao kao 	高考	c=1 d=2.84533e-08 t=22014
gao lai gao qu 	搞來搞去	c=1 d=4.32446e-21 t=22014
gao le 	搞了	c=1 d=5.39595e-37 t=22014
gao na me 	搞那麼	c=1 d=1.00847e-11 t=22014
gao pei 	高配	c=3 d=1.0146e-32 t=22014
gao qing 	高清	c=3 d=8.50074e-06 t=22014
gao qing chu 	搞清楚	c=1 d=6.11025e-29 t=22014
gao qing shi pin 	高清視頻	c=1 d=8.41916e-06 t=22014
gao shan 	高山	c=1 d=1.33004e-36 t=22014
gao shan xia 	高山下	c=1 d=1.23746e-36 t=22014
gao shen 	高深	c=2 d=0.416649 t=22014
gao si 	搞死	c=1 d=0.0290133 t=22014
gao si ni 	搞死你	c=1 d=0.0450492 t=22014
gao su 	高速	c=2 d=4.02939e-09 t=22014
gao su wo 	告诉我	c=1 d=7.44634e-32 t=22014
gao tong 	高通	c=1 d=2.5559e-40 t=22014
gao xiao 	高校	c=2 d=4.20179e-06 t=22014
gao xing 	高興	c=1 d=4.22285e-06 t=22014
gao xue cheng 	高學成	c=5 d=9.42757e-22 t=22014
gao yi ge 	搞一个	c=2 d=6.10817e-25 t=22014
gao yi tao 	搞一套	c=1 d=4.47849e-21 t=22014
gao zai 	搞在	c=1 d=1.02072e-06 t=22014
gao zhong 	高中	c=1 d=0.0175975 t=22014
ge 	個	c=45 d=0.868183 t=22014
ge 	哥	c=4 d=3.39953e-09 t=22014
ge bi 	隔壁	c=1 d=5.32937e-38 t=22014
ge ge 	個個	c=2 d=2.44268e-07 t=22014
ge ge 	哥哥	c=1 d=1.1538e-36 t=22014
ge li 	割禮	c=1 d=3.59029e-38 t=22014
ge pi 	嗝屁	c=1 d=5.54687e-38 t=22014
ge ren 	個人	c=2 d=2.04412e-29 t=22014
ge shi 	格式	c=2 d=5.77933e-21 t=22014
ge shi hua 	格式化	c=3 d=0.329559 t=22014
ge shuo ge hua 	各說各話	c=1 d=4.61646e-25 t=22014
ge tian 	隔天	c=1 d=2.01959e-34 t=22014
ge wei 	各位	c=2 d=2.24172e-39 t=22014
ge yue 	個月	c=1 d=1.44498e-07 t=22014
ge zhong 	各種	c=17 d=0.00246175 t=22014
gei 	給	c=24 d=0.00945851 t=22014
gei da lao 	給大佬	c=1 d=9.07768e-39 t=22014
gei dian er 	給點兒	c=1 d=5.61425e-33 t=22014
gei ge 	給個	c=1 d=5.49559e-17 t=22014
gei ni 	給你	c=6 d=1.09477e-19 t=22014
gei ren 	給人	c=2 d=0.0280202 t=22014
gei wo 	給我	c=9 d=0.000528922 t=22014
gen ben 	根本	c=15 d=0.00514361 t=22014
gen ju 	根據	c=1 d=2.81942e-18 t=22014
gen mu lu 	根目錄	c=2 d=8.81047e-31 t=22014
gen zhe 	跟着	c=1 d=2.22661e-35 t=22014
geng 	更	c=7 d=0.00339653 t=22014
geng bu 	更不	c=1 d=1.05106e-27 t=22014
geng chang 	更長	c=1 d=2.43679e-08 t=22014
geng che 	更扯	c=1 d=1.8005e-36 t=22014
geng chong zu 	更充足	c=1 d=8.81268e-14 t=22014
geng duo 	更多	c=2 d=1.19205 t=20444
geng gai 	更改	c=2 d=0.0020601 t=22014
geng gan xing qu 	更感兴趣	c=1 d=0.0645703 t=22014
geng geng 	耿耿	c=2 d=1.54354e-39 t=22014
geng hao 	更好	c=4 d=0.00484407 t=22014
geng he li 	更合理	c=1 d=1.08979e-41 t=22014
geng jian jie 	更简洁	c=1 d=1.39718e-23 t=22014
geng jiu 	更久	c=1 d=1.66235e-38 t=22014
geng kuai 	更快	c=3 d=1.52827e-07 t=22014
geng pian yi 	更便宜	c=1 d=8.05007e-08 t=22014
geng xin 	更新	c=31 d=0.102797 t=22014
geng you 	更有	c=1 d=0.222017 t=22014
gong 	公	c=1 d=5.86068e-10 t=22014
gong 	宮	c=1 d=1 t=20538
gong an bu 	公安部	c=3 d=1.28131e-10 t=22014
gong an ju 	公安局	c=2 d=0.00739664 t=22014
gong an ju zhang 	公安局長	c=1 d=1 t=21108
gong cheng 	工程	c=2 d=1.99005 t=21470
gong cheng mo shi 	工程模式	c=1 d=1 t=21658
gong chu 	供出	c=1 d=2.19353e-06 t=22014
gong cun 	共存	c=2 d=3.21794e-35 t=22014
gong fu 	功夫	c=2 d=1.47237 t=20242
gong hui zhu xi 	工會主席	c=4 d=2.76787 t=21274
gong jiao 	公交	c=1 d=4.5383e-30 t=22014
gong jiao che 	公交車	c=5 d=3.38639e-25 t=22014
gong ju 	工具	c=11 d=0.191274 t=22014
gong kai 	公開	c=1 d=7.5881e-18 t=22014
gong lv 	功率	c=1 d=1.33339e-32 t=22014
gong men 	公門	c=1 d=1 t=20544
gong men 	攻門	c=0 d=0.1 t=20540
gong men li mian 	攻門裏面	c=1 d=1 t=20541
gong neng 	功能	c=23 d=0.727962 t=22014
gong ren 	公認	c=1 d=1 t=20081
gong ren 	工人	c=3 d=1.63734 t=21247
gong shi 	公式	c=2 d=0.179196 t=22014
gong si 	公司	c=9 d=0.000117396 t=22014
gong tong 	共同	c=1 d=4.04185e-20 t=22014
gong wu yuan 	公務員	c=2 d=9.69389e-38 t=22014
gong xin bu 	工信部	c=1 d=3.04636e-17 t=22014
gong yao 	公鑰	c=2 d=5.36894e-11 t=22014
gong zi 	公子	c=2 d=0.0320647 t=22014
gong zi 	工資	c=1 d=1.11317e-26 t=22014
gong zuo 	工作	c=1 d=1.33939e-26 t=22014
gong zuo zhe 	工作者	c=1 d=5.22473e-40 t=22014
gou 	彀	c=1 d=3.53624e-36 t=22014
gou 	緱	c=1 d=3.5186e-36 t=22014
gou da 	夠大	c=1 d=0.261846 t=22014
gou mai 	購買	c=1 d=0.000115067 t=22014
gou qi 	枸杞	c=8 d=2.62747e-12 t=22014
gou qiang 	夠嗆	c=1 d=3.96937e-13 t=22014
gou shi 	狗屎	c=1 d=5.2873e-33 t=22014
gou yong 	夠用	c=5 d=0.284563 t=22014
gou yong le 	够用了	c=1 d=1.53433e-07 t=22014
gu dian 	古典	c=1 d=1 t=20714
gu ding 	固定	c=2 d=0.00597602 t=22014
gu dong 	鼓動	c=1 d=1 t=20867
gu ge 	谷歌	c=29 d=0.951229 t=22014
gu ge fu wu 	谷歌服務	c=2 d=0.442639 t=22014
gu gou 	股溝	c=1 d=0.000152248 t=22014
gu gu 	姑姑	c=3 d=0.440432 t=22014
gu ji 	估計	c=29 d=1.1658 t=22014
gu ji 	古籍	c=1 d=1 t=20570
gu ji shi 	估计是	c=3 d=2.02375e-11 t=22014
gu li 	鼓勵	c=1 d=0.225373 t=22014
gu niang 	姑娘	c=1 d=1 t=21322
gu piao 	股票	c=1 d=0.000120363 t=22014
gu ren 	古人	c=2 d=0.232236 t=22014
gu shi hou 	古時候	c=2 d=0.000450569 t=22014
gu yi 	故意	c=1 d=1 t=21125
gu yi sha ren 	故意殺人	c=1 d=0.0187793 t=22014
gua 	掛	c=4 d=2.15375e-06 t=22014
gua gou 	掛鉤	c=1 d=4.85315e-25 t=22014
gua guan 	掛冠	c=0 d=0.1 t=20506
gua guan gui li 	掛冠歸里	c=1 d=1 t=20505
gua guan gui qu 	掛冠歸去	c=1 d=1 t=20507
gua le 	掛了	c=1 d=0.0441572 t=22014
gua qi lai 	掛起來	c=1 d=1 t=20511
gua sha 	刮痧	c=1 d=1 t=20064
gua tian 	瓜田	c=2 d=1.9802 t=20321
gua tian li xia 	瓜田李下	c=1 d=1 t=20330
gua zai 	掛載	c=1 d=1.5404e-24 t=22014
guai bu 	怪不	c=0 d=2.97529e-05 t=22014
guai bu de 	怪不得	c=1 d=6.99222e-27 t=22014
guai bu dei 	怪不得	c=1 d=0.00029902 t=22014
guai qiao 	乖巧	c=1 d=1 t=20530
guan 	官	c=4 d=7.67817e-12 t=22014
guan 	管	c=2 d=2.57457e-08 t=22014
guan 	關	c=2 d=0.0107807 t=22014
guan bi 	關閉	c=9 d=0.0112778 t=22014
guan ce 	觀測	c=1 d=2.76209e-41 t=22014
guan cha 	觀察	c=15 d=2.85653e-40 t=22014
guan cha dao 	觀察到	c=2 d=5.25088e-41 t=22014
guan cha shi 	觀察時	c=2 d=8.59222e-41 t=22014
guan cha zhe 	觀察者	c=10 d=1.76799e-40 t=22014
guan diao 	關掉	c=1 d=5.73078e-10 t=22014
guan er dai 	官二代	c=1 d=1 t=21412
guan fang 	官方	c=45 d=0.58574 t=22014
guan ji 	關機	c=7 d=0.535533 t=22014
guan jia 	管家	c=9 d=1.90587e-12 t=22014
guan jian 	關鍵	c=9 d=0.32863 t=22014
guan li 	管理	c=4 d=0.0333733 t=22014
guan li qi 	管理器	c=13 d=1.27861e-13 t=22014
guan li yuan 	管理員	c=1 d=2.6085e-15 t=22014
guan mao 	官帽	c=1 d=1 t=20510
guan shan 	關山	c=2 d=1.12451e-25 t=22014
guan shan kou 	關山口	c=1 d=7.70764e-26 t=22014
guan wang 	官網	c=2 d=7.77981e-18 t=22014
guan xi 	關係	c=7 d=0.631284 t=22014
guan xi hu 	關係戶	c=3 d=1.5012 t=21339
guan yu 	關於	c=2 d=0.000497955 t=22014
guan zhu 	關注	c=2 d=0.00516939 t=22014
guang 	廣	c=3 d=1.24133 t=20873
guang 	逛	c=1 d=4.68049e-40 t=22014
guang bo 	廣播	c=2 d=2.14821e-13 t=22014
guang chang 	廣場	c=1 d=1.10059e-10 t=22014
guang dian 	廣電	c=1 d=0.00232276 t=22014
guang dong ren 	廣東人	c=2 d=5.10648e-06 t=22014
guang fan 	廣泛	c=1 d=2.04203e-17 t=22014
guang gao 	廣告	c=13 d=0.00139997 t=22014
guang gu 	光谷	c=2 d=1.59389e-25 t=22014
guang lan 	光纜	c=1 d=1.00324e-38 t=22014
guang lin 	广林	c=1 d=1 t=20576
guang wu 	光武	c=0 d=4.15914e-34 t=22014
guang wu da di 	光武大帝	c=1 d=4.17999e-33 t=22014
guang xian 	光線	c=1 d=6.07874e-27 t=22014
guang xue 	光學	c=2 d=1.7177e-32 t=22014
guang zi 	光子	c=2 d=1.50559e-41 t=22014
gui 	歸	c=1 d=2.22623e-33 t=22014
gui 	貴	c=6 d=2.06468e-12 t=22014
gui 	鬼	c=1 d=2.42456e-37 t=22014
gui ding 	規定	c=2 d=3.06163e-17 t=22014
gui fan 	規範	c=1 d=3.28876e-06 t=22014
gui ge 	規格	c=1 d=7.90545e-30 t=22014
gui guai 	鬼怪	c=15 d=1.00819e-40 t=22014
gui hun 	鬼魂	c=1 d=5.46522e-40 t=22014
gui lv 	規律	c=2 d=0.00169512 t=22014
gui na 	歸納	c=1 d=6.04739e-25 t=22014
gui qu 	歸去	c=0 d=0.1 t=20506
gui su 	龜速	c=2 d=2.14083e-14 t=22014
gun dong 	滾動	c=1 d=2.85911e-06 t=22014
guo 	國	c=5 d=0.273339 t=22014
guo 	過	c=20 d=0.403269 t=22014
guo 	郭	c=3 d=1.2839e-36 t=22014
guo an ju 	國安局	c=2 d=1.1545e-20 t=22014
guo chan 	國產	c=2 d=3.40174e-21 t=22014
guo cheng 	過程	c=3 d=2.3211e-19 t=22014
guo cheng zhong 	过程中	c=1 d=8.73688e-30 t=22014
guo de gang 	郭德綱	c=1 d=0.00275318 t=22014
guo duan 	果斷	c=1 d=1.69657e-13 t=22014
guo guan 	過關	c=0 d=1.12884e-15 t=22014
guo ji 	國際	c=5 d=0.000114802 t=22014
guo ji ban 	国际版	c=10 d=2.57725e-18 t=22014
guo ji ju shi 	國際局勢	c=1 d=0.0409665 t=22014
guo ji tian 	過幾天	c=1 d=1 t=21257
guo jia 	國家	c=1 d=1.0664e-21 t=22014
guo jia bu tie 	国家补贴	c=1 d=1.22836e-08 t=22014
guo kao 	国考	c=1 d=4.89509e-38 t=22014
guo lai 	過來	c=1 d=2.16345e-20 t=22014
guo le 	過了	c=2 d=0.0837432 t=22014
guo min 	國民	c=1 d=2.0403e-07 t=22014
guo nei 	國內	c=22 d=0.477227 t=22014
guo qu 	過去	c=4 d=0.0495388 t=22014
guo qu le 	過去了	c=1 d=6.50045e-22 t=22014
guo sheng 	過剩	c=1 d=2.85018e-28 t=22014
guo shi 	過失	c=1 d=1 t=20694
guo wai 	國外	c=2 d=0.467666 t=22014
guo wai qu 	國外去	c=1 d=1.10438e-21 t=22014
guo wen gui 	郭文貴	c=10 d=4.99715e-11 t=22014
guo xue 	國學	c=1 d=1 t=20724
ha 	哈	c=21 d=0.0715338 t=22014
ha ha 	哈哈	c=17 d=4.22501e-12 t=22014
ha nu gong 	哈弩弓	c=1 d=8.1759e-14 t=22014
ha yi si 	哈意思	c=1 d=0.718924 t=22014
hai 	海	c=2 d=1.79453 t=21411
hai 	還	c=52 d=0.106379 t=22014
hai bu 	還不	c=0 d=1.37568e-18 t=22014
hai bu cong 	還不從	c=1 d=1 t=21021
hai bu cuo 	还不错	c=6 d=0.00724063 t=22014
hai bu dao 	还不到	c=1 d=5.82928e-34 t=22014
hai bu gou 	还不够	c=1 d=6.25428e-10 t=22014
hai bu gou hao 	还不够好	c=1 d=6.28563e-09 t=22014
hai bu hui 	還不會	c=1 d=0.000104638 t=22014
hai bu hui fu 	還不回覆	c=1 d=1.38257e-17 t=22014
hai bu neng 	還不能	c=1 d=2.67218e-34 t=22014
hai bu qing chu 	还不清楚	c=1 d=1 t=21114
hai bu ru 	還不如	c=4 d=0.423162 t=22014
hai bu shi 	還不是	c=1 d=4.80322e-21 t=22014
hai bu tong 	還不同	c=1 d=1.71654e-33 t=22014
hai bu xing 	還不行	c=1 d=9.44684e-08 t=22014
hai bu yi yang 	還不一樣	c=1 d=1.0083e-09 t=22014
hai di 	海底	c=1 d=9.98235e-39 t=22014
hai dou 	还都	c=1 d=1 t=21304
hai duo 	還多	c=1 d=1.45222e-07 t=22014
hai gui 	海歸	c=1 d=6.19185e-38 t=22014
hai hao 	還好	c=3 d=4.10796e-06 t=22014
hai hao la 	还好啦	c=1 d=1.04671e-37 t=22014
hai hao yi si 	還好意思	c=1 d=1 t=19995
hai ke yi 	還可以	c=9 d=0.00450652 t=22014
hai mei you 	還沒有	c=6 d=3.20091e-11 t=22014
hai neng 	還能	c=6 d=3.23458e-07 t=22014
hai shi 	還是	c=89 d=0.363504 t=22014
hai shi ke yi 	还是可以	c=1 d=2.07649e-08 t=22014
hai shi shuo 	還是說	c=1 d=5.48794e-30 t=22014
hai xing 	還行	c=1 d=1.91717e-10 t=22014
hai xu yao 	还需要	c=2 d=4.31044e-05 t=22014
hai yang 	海洋	c=0 d=7.84572e-30 t=22014
hai yang qi yuan 	海洋奇緣	c=1 d=7.88504e-29 t=22014
hai yong 	還用	c=1 d=8.42346e-12 t=22014
hai you 	還有	c=38 d=0.566043 t=22014
hai you ge 	还有个	c=3 d=1.55081e-15 t=22014
hai you mei you 	還有沒有	c=1 d=1.10134e-18 t=22014
hai you yi ge 	还有一个	c=2 d=6.60884e-05 t=22014
hai zai 	還在	c=7 d=0.349938 t=22014
hai zao 	還早	c=1 d=0.109701 t=22014
hai zhen shi 	還真是	c=1 d=4.35664e-20 t=22014
hai zi 	孩子	c=1 d=0.0157644 t=22014
han 	漢	c=2 d=0.0437178 t=22014
han chu 	喊出	c=1 d=2.48898e-22 t=22014
han dong 	漢東	c=4 d=2.18065 t=21438
han guo 	韓國	c=4 d=1.35859e-09 t=22014
han hong 	韓紅	c=2 d=1.88042e-39 t=22014
han ju 	韓劇	c=1 d=3.00765e-43 t=22014
han min 	漢民	c=1 d=2.78899e-08 t=22014
han shu 	函數	c=2 d=4.52496e-41 t=22014
han xin 	韓信	c=1 d=4.15914e-33 t=22014
han yu 	漢語	c=6 d=3.24643 t=20811
han zu 	漢族	c=3 d=3.97678e-08 t=22014
hang 	行	c=2 d=4.95173e-25 t=22014
hao 	好	c=80 d=1.22864 t=22014
hao 	號	c=16 d=0.000114086 t=22014
hao ba 	好吧	c=2 d=2.3953e-10 t=22014
hao cha 	好差	c=1 d=5.14711e-11 t=22014
hao chang 	好長	c=1 d=3.49261e-37 t=22014
hao chu 	好處	c=2 d=2.58387e-21 t=22014
hao da 	好大	c=2 d=1.75365e-20 t=22014
hao dai 	好歹	c=2 d=3.8408e-08 t=22014
hao de 	好得	c=12 d=4.40657e-07 t=22014
hao dei 	好得	c=1 d=1.77279e-30 t=22014
hao di 	好滴	c=1 d=4.06764e-36 t=22014
hao dian 	好點	c=1 d=1.46149e-23 t=22014
hao dian 	耗電	c=1 d=1.46882e-23 t=22014
hao dian er 	好點兒	c=1 d=2.5932e-34 t=22014
hao dong xi 	好東西	c=2 d=2.29488e-08 t=22014
hao duo 	好多	c=22 d=0.613561 t=22014
hao duo ge 	好多個	c=1 d=6.69956e-24 t=22014
hao duo nian 	好多年	c=1 d=7.42333e-25 t=22014
hao fang 	豪放	c=1 d=2.11333e-09 t=22014
hao fang nv 	豪放女	c=0 d=4.74807e-10 t=22014
hao fei 	耗費	c=1 d=0.000893825 t=22014
hao fu za 	好複雜	c=1 d=6.37845e-05 t=22014
hao gao duan 	號高端	c=1 d=3.10525e-07 t=22014
hao guo 	好過	c=1 d=0.00100779 t=22014
hao ha 	好哈	c=1 d=1.54838e-26 t=22014
hao hao 	好好	c=3 d=7.94804e-05 t=22014
hao hen duo 	好很多	c=1 d=1.85186e-14 t=22014
hao huai 	好壞	c=1 d=1.09501 t=20564
hao huai shi fei 	好壞是非	c=1 d=1 t=20565
hao huo 	好貨	c=1 d=1.01778e-36 t=22014
hao ji bai 	好幾百	c=2 d=4.59827e-08 t=22014
hao ji ge 	好幾個	c=3 d=0.157664 t=22014
hao ji ge yue 	好几个月	c=1 d=3.77449e-09 t=22014
hao ka 	好卡	c=1 d=0.0776922 t=22014
hao kan 	好看	c=2 d=2.25449e-05 t=22014
hao kan xie 	好看些	c=1 d=6.45923e-06 t=22014
hao ke lian 	好可怜	c=1 d=3.15218e-07 t=22014
hao le 	好了	c=10 d=6.50865e-14 t=22014
hao ma 	好嗎	c=2 d=0.582748 t=22014
hao ma 	號碼	c=10 d=0.0655462 t=22014
hao ma fan 	好麻烦	c=4 d=8.10876e-05 t=22014
hao niu bi 	好牛逼	c=1 d=0.66034 t=22014
hao qi 	好奇	c=4 d=3.53757e-23 t=22014
hao ren 	好人	c=2 d=7.8639e-27 t=22014
hao ren hao yun 	好人好運	c=1 d=7.90276e-26 t=22014
hao shang 	好上	c=1 d=1.05288e-18 t=22014
hao shao 	好少	c=1 d=0.00501661 t=22014
hao shen 	好深	c=2 d=0.305746 t=22014
hao shi 	好事	c=1 d=1.78289e-38 t=22014
hao shi duo mo 	好事多磨	c=1 d=2.52222e-31 t=22014
hao si 	好似	c=1 d=6.45133e-21 t=22014
hao tu 	好圖	c=2 d=0.000131698 t=22014
hao tui 	好腿	c=2 d=0.197899 t=22014
hao wan 	好玩	c=2 d=7.13453e-14 t=22014
hao wu 	毫無	c=1 d=9.88839e-16 t=22014
hao wu ya li 	毫無壓力	c=3 d=2.39403e-12 t=22014
hao xia ren 	好吓人	c=2 d=0.00102302 t=22014
hao xiang 	好像	c=78 d=1.65978 t=22014
hao xie 	好些	c=16 d=5.52495e-07 t=22014
hao yang 	好樣	c=1 d=1.18241e-30 t=22014
hao yo 	好哟	c=1 d=1.28067e-28 t=22014
hao yong 	好用	c=5 d=0.650509 t=22014
hao you 	好友	c=3 d=1.5825e-20 t=22014
hao yun 	好運	c=0 d=7.86335e-27 t=22014
hao zhi jie 	好直接	c=1 d=1.80983e-38 t=22014
he 	和	c=131 d=3.48747 t=22014
he 	喝	c=2 d=3.58679e-38 t=22014
he ji 	合集	c=6 d=1.78622e-41 t=22014
he jin 	合巹	c=1 d=1 t=20533
he kuang 	何況	c=1 d=8.68e-12 t=22014
he ni 	和你	c=1 d=1.85375e-26 t=22014
he ran 	赫然	c=2 d=0.0257325 t=22014
he ren 	何人	c=1 d=3.46032e-16 t=22014
he shang 	和尚	c=1 d=1 t=20765
he shi 	合適	c=1 d=2.32315e-05 t=22014
he yong 	合用	c=1 d=2.37695e-39 t=22014
he zuo 	合作	c=1 d=6.05274e-06 t=22014
he zuo huo ban 	合作伙伴	c=1 d=0.00241755 t=22014
hei 	黑	c=2 d=3.31324e-05 t=22014
hei bai 	黑白	c=1 d=2.72662e-36 t=22014
hei bian 	黑邊	c=5 d=3.31807e-32 t=22014
hei hei 	嘿嘿	c=2 d=1.47868e-30 t=22014
hei jin 	黑金	c=2 d=1.97531 t=20075
hei ping 	黑屏	c=1 d=1 t=19953
hei se 	黑色	c=1 d=6.6546e-33 t=22014
hei she hui 	黑社會	c=1 d=1 t=20071
hei ti 	黑體	c=1 d=7.17556e-08 t=22014
hen 	很	c=17 d=6.52415e-06 t=22014
hen 	狠	c=1 d=1.66207e-36 t=22014
hen bu cuo 	很不錯	c=2 d=0.615697 t=22014
hen bu man 	很不滿	c=1 d=5.89087e-40 t=22014
hen duo 	很多	c=11 d=0.869358 t=22014
hen gao 	很高	c=1 d=8.23228e-36 t=22014
hen gui 	很貴	c=1 d=1.61965e-26 t=22014
hen hao 	很好	c=1 d=3.41287e-30 t=22014
hen hao yong 	很好用	c=1 d=0.00148848 t=22014
hen hen 	狠狠	c=1 d=0.0133665 t=22014
hen huo 	很火	c=1 d=5.41009e-09 t=22014
hen ke neng 	很可能	c=1 d=7.12474e-42 t=22014
hen ku zao 	很枯燥	c=1 d=1.3461e-26 t=22014
hen kuai 	很快	c=3 d=3.58236e-12 t=22014
hen li hai 	很厲害	c=4 d=0.00400585 t=22014
hen meng 	很猛	c=1 d=6.09447e-28 t=22014
hen ming xian 	很明顯	c=1 d=3.58663e-26 t=22014
hen nan 	很難	c=2 d=9.64418e-08 t=22014
hen qi guai 	很奇怪	c=2 d=9.32711e-05 t=22014
hen shao 	很少	c=2 d=1.02319e-05 t=22014
hen tao yan 	很讨厌	c=1 d=1.01318e-07 t=22014
hen xiang 	很像	c=1 d=4.71468e-08 t=22014
hen you 	很有	c=2 d=4.62432e-08 t=22014
hen zheng chang 	很正常	c=1 d=1.93605e-37 t=22014
hong fu nv 	红拂女	c=1 d=2.32394e-09 t=22014
hong guan 	宏觀	c=5 d=9.47733e-41 t=22014
hong guan shi jie 	宏觀世界	c=2 d=2.30007e-41 t=22014
hong guan shi jie li 	宏觀世界裏	c=1 d=5.73254e-43 t=22014
hong lian 	紅臉	c=2 d=0.031117 t=22014
hong mi 	紅迷	c=3 d=3.69904e-36 t=22014
hong se 	紅色	c=5 d=2.13328e-30 t=22014
hong wai 	紅外	c=2 d=1.52771e-32 t=22014
hong zhi zhu 	红蜘蛛	c=11 d=3.77074e-09 t=22014
hou 	候	c=3 d=0.0415548 t=22014
hou 	後	c=44 d=1.25003 t=22014
hou bei 	後背	c=1 d=1.21255e-32 t=22014
hou dao 	厚道	c=1 d=2.32751e-27 t=22014
hou lai 	後來	c=1 d=1.56533e-07 t=22014
hou liang zhang 	後兩張	c=1 d=1.57913e-22 t=22014
hou men 	後門	c=2 d=1.51613e-15 t=22014
hou mian 	後面	c=6 d=0.0551585 t=22014
hou mian jiu 	後面就	c=1 d=0.554327 t=22014
hou qin 	後勤	c=1 d=1 t=21948
hou tai 	後臺	c=10 d=0.0642483 t=22014
hou tui 	後退	c=1 d=1.75789e-19 t=22014
hou yi qie 	後一切	c=1 d=1.98371e-29 t=22014
hou zhe 	後者	c=4 d=5.82036e-16 t=22014
hou zhui 	後綴	c=1 d=4.84737e-11 t=22014
hu 	互	c=1 d=1.27558e-40 t=22014
hu 	胡	c=2 d=7.56556e-13 t=22014
hu 	護	c=1 d=9.76109e-40 t=22014
hu bei 	湖北	c=3 d=7.37692e-09 t=22014
hu bei ren 	湖北人	c=1 d=1 t=20481
hu die xiao ying 	蝴蝶效應	c=1 d=1 t=21940
hu dong 	互動	c=1 d=4.35368e-12 t=22014
hu fu qi she 	胡服骑射	c=1 d=9.90523e-36 t=22014
hu hang 	護航	c=1 d=1 t=21101
hu ji 	戶籍	c=1 d=2.511e-08 t=22014
hu jiao deng dai 	呼叫等待	c=1 d=1.30543e-18 t=22014
hu jin tao 	胡錦濤	c=1 d=1 t=20171
hu lian wang 	互聯網	c=1 d=4.01895e-12 t=22014
hu lu wa 	葫芦娃	c=1 d=1.36784e-38 t=22014
hu nan 	湖南	c=3 d=5.70198e-08 t=22014
hu tu 	糊塗	c=3 d=0.000114585 t=22014
hu xiang 	互相	c=2 d=4.39519e-06 t=22014
hu you 	忽悠	c=1 d=0.000128446 t=22014
hu you wo 	忽悠我	c=1 d=7.78908e-32 t=22014
hua 	化	c=2 d=3.4191e-16 t=22014
hua 	滑	c=1 d=2.11585e-23 t=22014
hua 	畫	c=1 d=1.46702e-38 t=22014
hua 	花	c=8 d=0.227638 t=22014
hua 	華	c=3 d=4.57745e-11 t=22014
hua 	話	c=3 d=5.69787e-10 t=22014
hua bei 	華北	c=0 d=0.1 t=19728
hua chu 	畫出	c=1 d=1.42366e-38 t=22014
hua dong 	滑動	c=3 d=0.483019 t=22014
hua er 	花兒	c=1 d=1.1057e-35 t=22014
hua fei 	話費	c=5 d=7.39786e-14 t=22014
hua huan 	花環	c=2 d=2.47505e-36 t=22014
hua le 	花了	c=1 d=1.09678e-28 t=22014
hua mian 	畫面	c=1 d=1 t=20407
hua shi 	華師	c=2 d=1.72721e-35 t=22014
hua shuo 	話說	c=7 d=1.69747e-05 t=22014
hua suan 	划算	c=2 d=1.37853e-12 t=22014
hua wei 	華爲	c=9 d=8.58924e-06 t=22014
hua xue 	化學	c=1 d=3.2174e-42 t=22014
hua xue jia 	化學家	c=2 d=5.9254e-42 t=22014
hua zhong 	華中	c=3 d=2.34279e-35 t=22014
hua zhong shi fan 	華中師範	c=1 d=9.56455e-36 t=22014
hua zhong shi fan da xue 	華中師範大學	c=1 d=4.49544e-36 t=22014
huai bao 	懷抱	c=0 d=0.0429557 t=22014
huai bao ba 	懷抱吧	c=1 d=0.431711 t=22014
huai yi 	懷疑	c=3 d=1.08141e-09 t=22014
huai yin hou 	淮阴侯	c=1 d=4.1384e-33 t=22014
huan 	換	c=13 d=0.000277429 t=22014
huan 	環	c=5 d=3.70699e-27 t=22014
huan cheng 	換成	c=4 d=1.03867e-05 t=22014
huan cun 	緩存	c=16 d=2.59275e-16 t=22014
huan dao 	換到	c=1 d=0.000257369 t=22014
huan ge 	換個	c=1 d=1.01091e-10 t=22014
huan ji 	換機	c=1 d=6.21971e-32 t=22014
huan jing 	環境	c=6 d=0.00132513 t=22014
huan lai huan qu 	換來換去	c=1 d=0.00154923 t=22014
huan le 	歡樂	c=1 d=4.66936e-12 t=22014
huan qu 	换区	c=1 d=1.76155e-14 t=22014
huan ren 	換人	c=1 d=2.68466e-30 t=22014
huan shou 	換手	c=1 d=1.37783e-06 t=22014
huan xi tong 	換系統	c=1 d=9.85951e-11 t=22014
huan yi 	換衣	c=1 d=1 t=19846
huan ying 	歡迎	c=1 d=2.7765e-14 t=22014
huan you 	還有	c=1 d=3.51381e-20 t=22014
huan zhu ge ge 	还珠格格	c=1 d=1 t=20115
